"time_secs1970","tbsky30","first_cbh","rain_intensity","tbsky31","cat_wetwindow"
1407617603,32.5369987487793,-1,0,30.6200008392334,0
1409672513,29.9930000305176,-1,0,29.2700004577637,0
1394518025,12.8509998321533,-1,0,14.3000001907349,0
1405593980,188.36799621582,630,1.89999997615814,-1,1
1413355976,12.5699996948242,-1,0,13.4399995803833,0
1395841048,-1,-1,-1,-1,0
1393381680,20.1350002288818,1690,0,20.8600006103516,0
1388789768,12.6479997634888,-1,0,12.3699998855591,0
1399232147,14.9569997787476,-1,0,13.7399997711182,0
1410235994,28.511999130249,-1,0,28.1900005340576,0
1415137034,12.9770002365112,5450,-1,13.5500001907349,0
1415365792,13.8450002670288,-1,0,14.1599998474121,0
1403701700,29.1690006256104,3440,0,28.6800003051758,0
1418858540,79.4649963378906,230,0,-1,0
1390630015,15.3909997940063,-1,0,15.5600004196167,0
1406145618,31.257999420166,7350,0,30.6399993896484,0
1397223116,17.25,4940,0,17.6599998474121,0
1388875178,-1,-1,-1,-1,-1
1413813070,24.8899993896484,-1,0,24.8999996185303,0
1390297992,10.8660001754761,-1,0,11.1599998474121,0
1398233898,16.6049995422363,-1,0,16.8299999237061,0
1403289940,29.9150009155273,-1,0,29.3299999237061,0
1419485702,11.2220001220703,-1,0,11.8999996185303,0
